,#Data contains:GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#
14721,205355900,2021-03-16 09:02:17,3,11.3833207,47.3122111,2321.339,0,6.81
14722,205356000,2021-03-16 09:02:18,3,11.3833207,47.3122111,2321.324,0,6.81
14723,205356100,2021-03-16 09:02:18,3,11.3833205,47.3122111,2321.281,0,6.81
14724,205356200,2021-03-16 09:02:18,3,11.3833202,47.3122113,2321.261,0,6.81
14725,205356300,2021-03-16 09:02:18,3,11.3833198,47.3122112,2321.252,0,6.81
14726,205356400,2021-03-16 09:02:18,3,11.3833196,47.3122111,2321.282,0,6.81
14727,205356500,2021-03-16 09:02:18,3,11.3833191,47.3122114,2321.259,1,6.81
14728,205356600,2021-03-16 09:02:18,3,11.3833188,47.3122115,2321.218,1,6.81
14729,205356700,2021-03-16 09:02:18,3,11.3833187,47.3122112,2321.191,1,6.81
14730,205356800,2021-03-16 09:02:18,3,11.3833188,47.3122111,2321.238,1,6.81
14731,205356900,2021-03-16 09:02:18,3,11.3833189,47.3122113,2321.358,1,6.81
14732,205357000,2021-03-16 09:02:19,3,11.3833187,47.3122105,2321.476,1,6.81
14733,205357100,2021-03-16 09:02:19,3,11.3833179,47.3122105,2321.445,1,6.81
14734,205357200,2021-03-16 09:02:19,3,11.3833178,47.3122099,2321.573,1,6.81
14735,205357300,2021-03-16 09:02:19,3,11.3833177,47.3122098,2321.652,1,6.81
14736,205357400,2021-03-16 09:02:19,3,11.3833173,47.3122098,2321.66,1,6.81
14737,205357500,2021-03-16 09:02:19,3,11.383317,47.3122104,2321.7,0,6.81
14738,205357600,2021-03-16 09:02:19,3,11.3833178,47.3122105,2321.736,0,6.81
14739,205357700,2021-03-16 09:02:19,3,11.3833182,47.3122108,2321.749,0,6.81
14740,205357800,2021-03-16 09:02:19,3,11.3833192,47.3122109,2321.685,0,6.81
14741,205357900,2021-03-16 09:02:19,3,11.3833192,47.3122113,2321.507,0,6.81
14742,205358000,2021-03-16 09:02:20,3,11.3833192,47.312211,2321.46,0,6.87
14743,205358100,2021-03-16 09:02:20,3,11.3833183,47.3122109,2321.464,0,6.87
14744,205358200,2021-03-16 09:02:20,3,11.3833186,47.3122106,2321.469,0,6.87
14745,205358300,2021-03-16 09:02:20,3,11.3833196,47.3122099,2321.483,0,6.87
14746,205358400,2021-03-16 09:02:20,3,11.38332,47.3122091,2321.433,0,6.87
14747,205358500,2021-03-16 09:02:20,3,11.3833204,47.3122081,2321.38,1,6.87
14748,205358600,2021-03-16 09:02:20,3,11.3833212,47.312207,2321.301,1,6.87
14749,205358700,2021-03-16 09:02:20,3,11.3833222,47.312205,2321.181,1,6.81
14750,205358800,2021-03-16 09:02:20,3,11.3833224,47.3122028,2321.073,1,6.81
14751,205358900,2021-03-16 09:02:20,3,11.3833221,47.3122013,2320.998,1,6.81
14752,205359000,2021-03-16 09:02:21,3,11.3833235,47.3121978,2320.886,1,6.81
14753,205359100,2021-03-16 09:02:21,3,11.3833235,47.3121946,2320.756,1,6.81
14754,205359200,2021-03-16 09:02:21,3,11.3833235,47.3121913,2320.606,1,6.81
14755,205359300,2021-03-16 09:02:21,3,11.3833238,47.312188,2320.452,1,6.81
14756,205359400,2021-03-16 09:02:21,3,11.3833243,47.3121846,2320.336,1,6.81
14757,205359500,2021-03-16 09:02:21,3,11.3833232,47.3121805,2320.154,0,6.81
14758,205359600,2021-03-16 09:02:21,3,11.3833224,47.3121768,2319.964,0,6.81
