#Data contains: GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#,height[m]
205328300,2021:03:16:09:01:50,3,11.3832084,47.3122357,2321266,1,6.12,2321.266
205328400,2021:03:16:09:01:50,3,11.3832085,47.3122357,2321244,1,6.12,2321.244
205328500,2021:03:16:09:01:50,3,11.3832084,47.3122357,2321231,1,6.12,2321.231
205328600,2021:03:16:09:01:50,3,11.3832084,47.3122357,2321212,0,6.12,2321.212
205328700,2021:03:16:09:01:50,3,11.3832084,47.3122357,2321193,0,6.12,2321.193
205328800,2021:03:16:09:01:50,3,11.3832085,47.3122357,2321163,0,6.12,2321.163
205328900,2021:03:16:09:01:50,3,11.3832085,47.3122358,2321162,0,6.12,2321.162
205329000,2021:03:16:09:01:51,3,11.3832084,47.3122358,2321137,0,6.12,2321.137
205329100,2021:03:16:09:01:51,3,11.3832084,47.3122358,2321120,0,6.12,2321.12
205329200,2021:03:16:09:01:51,3,11.3832084,47.3122358,2321102,0,6.12,2321.102
205329300,2021:03:16:09:01:51,3,11.3832084,47.3122358,2321097,0,6.12,2321.097
205329400,2021:03:16:09:01:51,3,11.3832083,47.3122358,2321076,0,6.12,2321.076
205329500,2021:03:16:09:01:51,3,11.3832084,47.3122358,2321086,0,6.06,2321.086
205329600,2021:03:16:09:01:51,3,11.3832083,47.3122359,2321048,1,6.06,2321.048
205329700,2021:03:16:09:01:51,3,11.3832082,47.3122358,2321035,1,6.06,2321.035
205329800,2021:03:16:09:01:51,3,11.3832083,47.3122358,2321049,1,6.06,2321.049
205329900,2021:03:16:09:01:51,3,11.3832083,47.3122358,2321029,1,6.06,2321.029
205330000,2021:03:16:09:01:52,3,11.3832082,47.3122358,2321005,1,6.06,2321.005
205330100,2021:03:16:09:01:52,3,11.3832081,47.3122357,2321013,1,6.06,2321.013
205330200,2021:03:16:09:01:52,3,11.383208,47.3122356,2320992,1,6.06,2320.992
205330300,2021:03:16:09:01:52,3,11.3832078,47.3122356,2320986,1,6.06,2320.986
205330400,2021:03:16:09:01:52,3,11.3832079,47.3122356,2320999,1,6.06,2320.999
205330500,2021:03:16:09:01:52,3,11.3832077,47.3122355,2320981,1,6.06,2320.981
205330600,2021:03:16:09:01:52,3,11.3832075,47.3122355,2320981,0,6.06,2320.981
205330700,2021:03:16:09:01:52,3,11.3832071,47.3122355,2320994,0,6.06,2320.994
205330800,2021:03:16:09:01:52,3,11.3832066,47.3122355,2321013,0,6.06,2321.013
205330900,2021:03:16:09:01:52,3,11.3832063,47.3122354,2321016,0,6.06,2321.016
205331000,2021:03:16:09:01:53,3,11.3832065,47.3122353,2321032,0,6.06,2321.032
205331100,2021:03:16:09:01:53,3,11.3832065,47.3122349,2321027,0,6.06,2321.027
205331200,2021:03:16:09:01:53,3,11.3832069,47.3122347,2321038,0,6.06,2321.038
205331300,2021:03:16:09:01:53,3,11.3832067,47.312235,2321021,0,6.06,2321.021
205331400,2021:03:16:09:01:53,3,11.3832066,47.3122351,2320978,0,6.06,2320.978
205331500,2021:03:16:09:01:53,3,11.3832066,47.3122351,2320976,0,6.06,2320.976
205331600,2021:03:16:09:01:53,3,11.3832065,47.3122351,2320977,1,6.06,2320.977
205331700,2021:03:16:09:01:53,3,11.3832065,47.3122352,2320975,1,6.06,2320.975
205331800,2021:03:16:09:01:53,3,11.3832064,47.3122353,2320947,1,6.06,2320.947
205331900,2021:03:16:09:01:53,3,11.3832063,47.3122353,2320917,1,6.06,2320.917
205332000,2021:03:16:09:01:54,3,11.3832063,47.3122352,2320922,1,6.06,2320.922
205332100,2021:03:16:09:01:54,3,11.3832062,47.3122353,2320916,1,6.06,2320.916
205332200,2021:03:16:09:01:54,3,11.3832062,47.3122354,2320930,1,6.06,2320.93
205332300,2021:03:16:09:01:54,3,11.3832062,47.3122355,2320946,1,6.06,2320.946
205332400,2021:03:16:09:01:54,3,11.3832061,47.3122355,2320943,1,6.06,2320.943
205332500,2021:03:16:09:01:54,3,11.3832059,47.3122355,2320917,1,6.06,2320.917
205332600,2021:03:16:09:01:54,3,11.3832058,47.3122355,2320922,0,6.06,2320.922
205332700,2021:03:16:09:01:54,3,11.3832058,47.3122356,2320923,0,6.06,2320.923
205332800,2021:03:16:09:01:54,3,11.3832058,47.3122357,2320929,0,6.06,2320.929
205332900,2021:03:16:09:01:54,3,11.3832056,47.3122356,2320909,0,6.06,2320.909
205333000,2021:03:16:09:01:55,3,11.3832056,47.3122358,2320895,0,6.06,2320.895
205333100,2021:03:16:09:01:55,3,11.3832056,47.3122359,2320901,0,6.06,2320.901
205333200,2021:03:16:09:01:55,3,11.3832053,47.3122359,2320882,0,6.06,2320.882
205333300,2021:03:16:09:01:55,3,11.3832053,47.3122359,2320867,0,6.06,2320.867
205333400,2021:03:16:09:01:55,3,11.3832053,47.312236,2320858,0,6.06,2320.858
205333500,2021:03:16:09:01:55,3,11.3832052,47.312236,2320858,0,6.06,2320.858
205333600,2021:03:16:09:01:55,3,11.3832051,47.3122361,2320859,1,6.06,2320.859
205333700,2021:03:16:09:01:55,3,11.3832051,47.3122361,2320814,1,6.06,2320.814
205333800,2021:03:16:09:01:55,3,11.383205,47.3122362,2320833,1,6.06,2320.833
205333900,2021:03:16:09:01:55,3,11.3832048,47.3122363,2320820,1,6.06,2320.82
205334000,2021:03:16:09:01:56,3,11.3832048,47.3122363,2320809,1,6.06,2320.809
205334100,2021:03:16:09:01:56,3,11.3832047,47.3122364,2320793,1,6.06,2320.793
205334200,2021:03:16:09:01:56,3,11.3832046,47.3122365,2320812,1,6.06,2320.812
205334300,2021:03:16:09:01:56,3,11.3832046,47.3122366,2320790,1,6.06,2320.79
205334400,2021:03:16:09:01:56,3,11.3832047,47.3122368,2320797,1,6.06,2320.797
205334500,2021:03:16:09:01:56,3,11.3832046,47.3122369,2320792,1,6.06,2320.792
205334600,2021:03:16:09:01:56,3,11.3832045,47.312237,2320789,0,6.06,2320.789
